id,categoria_id,nombre,precio
cebollitas_300,almacen,CEBOLLITAS EN VINAGRE DOYPACK X 300GR,3625
cebollitas_kg,almacen,CEBOLLITAS EN VINAGRE X KG,10305
champinones_300,almacen,CHAMPIÑONES AL NATURAL DOYPACK X 300GR,3550
champinones_kg,almacen,CHAMPIÑONES AL NATURAL X KG,10425
jugo_limon_500,almacen,JUGO DE LIMON X 500ML,1950
pepinos_vinagre_300,almacen,PEPINOS EN VINAGRE DOYPACK X 300GR,4340
pepinos_vinagre_kg,almacen,PEPINOS EN VINAGRE X KG,12695
pickles_300,almacen,PICKLE MIXTO CON ACEITUNA NEGRA EN VINAGRE DOYPACK X 300GR,1865
pickles_kg,almacen,PICKLE MIXTO CON ACEITUNA NEGRA EN VINAGRE X KG,4590
pimenton_salmuera_300,almacen,PIMENTON ROJA AL NATURAL EN SALMUERA DOYPACK X 300GR,1590
pimenton_salmuera_kg,almacen,PIMENTON ROJA AL NATURAL EN SALMUERA X KG,4470
sal_ajo_100,almacen,SAL DE AJO X 100GR,1790
sal_ajo_kg,almacen,SAL DE AJO X KG,8500
sal_carnes_100,almacen,SAL PARA CARNES ROJAS X 100GR,1625
sal_carnes_kg,almacen,SAL PARA CARNES ROJAS X KG,7500
sal_entrefina_400,almacen,SAL ENTREFINA X 400GR,700
sal_fina_450,almacen,SAL FINA X 450GR,765
sal_himalaya_170,almacen,SAL DEL HIMALAYA X 170GR,2470
sal_himalaya_5kg,almacen,SAL DEL HIMALAYA X 5 KG,17540
sal_himalaya_kg,almacen,SAL DEL HIMALAYA X KG,4715
sal_marina_fina_500,almacen,SAL MARINA FINA X 500GR,2475
sal_marina_gruesa_500,almacen,SAL MARINA GRUESA X 500GR,2475
tomate_triturado_300,almacen,TOMATE TRITURADO AL NATURAL DOYPACK X 300GR,1345
tomate_triturado_kg,almacen,TOMATE TRITURADO AL NATURAL X KG,2710
vinagre_alcohol_300,almacen,VINAGRE DE ALCOHOL X 300ML,775
vinagre_manzana_300,almacen,VINAGRE DE MANZANA X 300ML,890
vinagre_vino_300,almacen,VINAGRE DE VINO X 300ML,825
galletita_diabest_200,golosinas,GALLETITA DIABEST COCO Y AVENA 200GR,2475
galletita_frutigram_250,golosinas,GALLETITA FRUTIGRAM AVENA Y PASAS X 250GR,2395
gomitas_acidas_500,golosinas,GOMITAS BOTONES ACIDOS X 500GR,6270
gomitas_surtidas_500,golosinas,"GOMITAS BANANITAS, ESTRELLITAS SURTIDAS X 500GR",5700
gomitas_surtidas_800,golosinas,"GOMITAS CONITO FRUT, CONITOS SURT, CONITOS MENTOL, BOTONES SURT, EUCALIPTOS X800G",6860
gomitas_kiosco_2100,golosinas,"GOMITAS KIT KIOSCOS (ESTRELLITAS, CONITOS FRUTILLA, BOTONES, BOLISTAS) X2100G",17530
integral_aritos_200,golosinas,INTEGRAL ARITOS X 200GR,2475
pepas_avena_270,golosinas,PEPAS DE AVENA INTEGRALIA X 270GR,3105
ajenjo_50,hierbas,AJENJO POTE DE 50G,1795
alcachofa_50,hierbas,ALCACHOFA 50GR,1705
alfalfa_40,hierbas,ALFALFA X 40GR,1530
altamisa_60,hierbas,ALTAMISA X 60GR,1835
altamisa_kg,hierbas,ALTAMISA X KG,11350
ambay_50,hierbas,AMBAY POTE X 50GR,1705
boldo_30,hierbas,BOLDO POTE DE 30GR,1745
burrito_50,hierbas,BURRITO POTE DE 50R,2050
carnicera_50,hierbas,CARNICERA POTE X 50GR,1720
carqueja_50,hierbas,CARQUEJA X 50GR,1720
cedron_30,hierbas,CEDRON POTE DE 30GR,1970
cola_caballo_40,hierbas,COLA DE CABALLO 40GR,1615
diente_leon_50,hierbas,DIENTE DE LEON X 50GR,1775
jazmin_35,hierbas,JAZMIN FLOR X35GR,1720
manzanilla_50,hierbas,MANZANILLA EN POTE 50GR,3010
manzanilla_kg,hierbas,MANZANILLA X KG,43140
melisa_50,hierbas,MELISA X 50GR,1965
menta_50,hierbas,MENTA POTE DE 50GR,2155
moringa_50,hierbas,MORINGA POTE DE 50GR,2860
olivo_40,hierbas,OLIVO POTE X 40GR,1575
pezuña_vaca_30,hierbas,PEZUÑA DE VACA X 30GR EN POTE,1505
poleo_70,hierbas,POLEO X 70GR,2500
romero_50,hierbas,ROMERO 50GR,2160
tilo_25,hierbas,TILO EN POTE DE 25GR,3185
tomillo_50,hierbas,TOMILLO EN POTE DE 50GR,2305
valeriana_70,hierbas,VALERIANA X 70GR EN POTE,5555
anis_estrellado_50,hierbas,ANIS ESTRELLADO 50GR,4730
canela_polvo_100,hierbas,CANELA EN POLVO X 100GR,3455
canela_rama_30,hierbas,CANELA EN RAMA 30GR,3515
clavo_olor_grano_15,hierbas,CLAVO DE OLOR EN GRANO X 15GR,1890
jengibre_raiz_50,hierbas,JENGIBRE RAIZ X 50GR,1905
jengibre_100,hierbas,JENGIBRE X 100GR,3500
mix_matero_75,hierbas,MIX MATERO 75GR,2560
super_mate,hierbas,SUPER MATE PREPARALO COMO QUIERAS,8180
mezcla_digestiva_50,hierbas,"MEZCLA DIGESTIVA X 50GR (BURRITO, POLEO, MANZANILLA FLOR)",2275
mezcla_relajante_40,hierbas,"MEZCLA RELAJANTE X 40GR (SEN, CEDRON, MANZANILLA FLOR, MANZANILLA PRE-MOLIDA)",2140
